回数,賞,ID,song_by,歌詞
1,大賞,181713,黒い花びら_by_水原弘,黒い花びら 静かに散った あの人は帰らぬ 遠い夢 俺は知ってる 恋の悲しさ 恋の苦しさ だから だから もう恋なんか したくない したくないのさ 黒い花びら 涙にうかべ 今は亡いあの人 あゝ 初恋 俺は知ってる 恋の淋しさ 恋の切なさ だから だから もう恋なんか したくない したくないのさ
1,歌唱賞,42705,夜霧に消えたチャコ_by_フランク永井,俺のこころを 知りながら なんでだまって 消えたんだ チャコ チャコ 酒場に咲いた 花だけど あの娘は可憐な 可憐な 娘だったよ 夢のないのが 淋しいと 霧に濡らした 白い頬 チャコ チャコ 忘れはしない いつまでも あの日の悲しい 悲しい まなざしを 青いネオンが 泣いている 紅いネオンも 涙ぐむ チャコ チャコ 帰っておくれ もう一度 俺のせつない せつない この胸に
1,童謡賞,No ID!,やさしい和尚さん_by_石井亀次郎とキングホウズキ会,和尚さん 和尚さん やさしい やさしい 和尚さん ひらひら もみじが ちってくる そうじゃよ そうじゃよ この寺の 名物もみじじゃ みてごらん  和尚さん 和尚さん それでも おそうじ たいへんね みんなで てつだい いたしましょ そりゃそりゃ ごくろうな ことじゃがのう ひとつてつだい たのみましょう  もく兵衛があげた ぼたもちじゃ ほっぺのとびそな ぼたもちじゃ さあさあ おあがり ごほうびじゃ それそれ ほっぺに あんこが ぺたりと くっついた
2,大賞,13077,誰よりも君を愛す_by_松尾和子＆和田弘とマヒナスターズ,誰にも云われず たがいに誓った かりそめの恋なら 忘れもしようが ああ 夢ではない ただひとすじ 誰よりも 誰よりも君を愛す 愛した時から 苦しみがはじまる 愛された時から わかれが待っている ああ それでもなお 命かけて 誰よりも 誰よりも君を愛す あなたがなければ 生きてはゆけない あなたがあるから 明日が生きられる ああ いく歳月 変ることなく 誰よりも 誰よりも君を愛す
2,歌唱賞,14764,哀愁波止場_by_美空ひばり,夜の波止場にゃ 誰あれもいない 霧にブイの灯 泣くばかり おどま盆ぎり盆ぎり 盆からさきゃ おらんと…… あの人の好きな歌 波がつぶやく淋しさよ あゝ今夜もブイの灯が…… 冷たい私の心のようにうるんでいる あの人のいない港は 暗い海の波のように淋しいわ…… あの人がいつも唄った歌が 今夜も私を泣かすのね 三月待っても 逢うのは一夜 恋も悲しい 波止場町 五ッ木くずしは しんから泣けるよ…… 思い出の滲む歌 耳に残って離れない
2,童謡賞,No ID!,ゆうらんバス_by_水上房子／キング小鳩会,Not Found...
2,新人賞,13868,潮来笠_by_橋幸夫,潮来の伊太郎 ちょっと見なれば 薄情そうな 渡り鳥 それでいいのさ あの移り気な 風が吹くまま 西東 なのにヨー なぜに眼に浮く潮来笠 田笠の紅緒が ちらつくようぢゃ 振り分け荷物 重かろに わけはきくなと 笑ってみせる 粋な単衣の 腕まくり なのにヨー 後髪引く潮来笠 旅空夜空で いまさら知った 女の胸の 底の底 ここは関宿 大利根川へ 人にかくして 流す花 だってヨー あの娘川下潮来笠
3,大賞,13078,君恋し_by_フランク永井,宵闇せまれば 悩みは涯なし みだるる心に うつるは誰が影 君恋し 唇あせねど 涙はあふれて 今宵も更け行く 唄声すぎゆき 足音ひびけど いずこにたずねん こころの面影 君恋し おもいはみだれて 苦しき幾夜を 誰がため忍ばん 君恋し 唇あせねど 涙はあふれて 今宵も更け行く 今宵も更け行く 今宵も更け行く……
3,歌唱賞,42608,硝子のジョニー_by_アイ・ジョージ,黒い面影 夜霧に濡れて ギターも泣いてる ジョニーよどこに 何時は消えてゆく 恋の夢よ 赤い花束 泪にうるむ 何故か帰らぬ ジョニーよどこに いつまた逢える日 淡い夢よ 黒い太陽 まぶたに消えて むなしいグラスよ ジョニーよどこに 語らんいついつ 恋の夢よ
3,童謡賞,206438,かかしのねがいごと_by_楠トシエ,かかしが 一本足じゃ くたびれるってさ もう一本足(あんよ)がほしいと いってました かかしが みの笠じゃ 古くさいってさ レインコートに こうもりほしいと いってました かかしも ちかごろじゃ ぜいたくいってさ みんなのまねして おしゃれがしたいのね かかしの ねがいごと かなったとさ ふるい洋服きせられて すましてた
