回数,賞,曲,歌手
1,大賞,黒い花びら,水原弘
1,歌唱賞,夜霧に消えたチャコ,フランク永井
1,童謡賞,やさしい和尚さん,石井亀次郎とキングホウズキ会
2,大賞,誰よりも君を愛す,松尾和子＆和田弘とマヒナスターズ
2,歌唱賞,哀愁波止場,美空ひばり
2,童謡賞,ゆうらんバス,水上房子／キング小鳩会
2,新人賞,潮来笠,橋幸夫
3,大賞,君恋し,フランク永井
3,歌唱賞,硝子のジョニー,アイ・ジョージ
3,童謡賞,かかしのねがいごと,楠トシエ
3,新人奨励賞,川は流れる,仲宗根美樹
3,新人奨励賞,団地のお嬢さん,山中みゆき
3,新人奨励賞,白い花のブルース,平野こうじ
3,新人奨励賞,湖愁,松島アキラ
3,新人奨励賞,むすめ三度笠,蔵野たつ美
3,新人奨励賞,さいはての唄,柳うた子
4,大賞,いつでも夢を,橋幸夫＆吉永小百合
4,歌唱賞,星屑の町,三橋美智也
4,童謡賞,小さい秋みつけた,童謡・唱歌
4,新人賞,なみだ船,北島三郎
4,新人賞,下町の太陽,倍賞千恵子
5,大賞,こんにちは赤ちゃん,梓みちよ
5,歌唱賞,赤ちゃんは王様だ,フランク永井
5,童謡賞,おもちゃのチャチャチャ,真理ヨシコ
5,新人賞,学園広場,舟木一夫
5,新人賞,高校三年生,舟木一夫
5,新人賞,島のブルース,三沢あけみ
5,新人賞,私も流れの渡り鳥,三沢あけみ
6,大賞,愛と死をみつめて,青山和子
6,歌唱賞,夜明けのうた,岸洋子
6,童謡賞,ワンツースリーゴー,音羽ゆりかご会
6,新人賞,君だけを,西郷輝彦
6,新人賞,17才のこの胸に,西郷輝彦
6,新人賞,アンコ椿は恋の花,都はるみ
7,大賞,柔,美空ひばり
7,歌唱賞,ワンレイニーナイト・イン・トーキョー,越路吹雪
7,童謡賞,マーチング・マーチ,天地総子／音羽ゆりかご会
7,新人賞,女心の唄,バーブ佐竹
7,新人賞,愛して愛して愛しちゃったのよ,和田弘とマヒナスターズ＆田代美代子
8,大賞,霧氷,橋幸夫
8,歌唱賞,絶唱,舟木一夫
8,童謡賞,おばけのQ太郎,石川進
8,新人賞,空に星があるように,荒木一郎
8,新人賞,赤い風船,加藤登紀子
9,大賞,ブルー・シャトウ,ジャッキー吉川とブルー・コメッツ
9,歌唱賞,君こそわが命,水原弘
9,歌唱賞,小指の想い出,伊東ゆかり
9,童謡賞,うたう足の歌,杉並合唱団
9,新人賞,恋人と呼んでみたい,永井秀和
9,新人賞,世界は二人のために,佐良直美
10,大賞,天使の誘惑,黛ジュン
10,歌唱賞,誰もいない,菅原洋一
10,歌唱賞,伊勢佐木町ブルース,青江三奈
10,歌唱賞,旅路のひとよ,鶴岡雅義と東京ロマンチカ
10,童謡賞,ペケの歌,長谷川よしみ
10,新人賞,あなたのブルース,矢吹健
10,新人賞,くちづけが怖い,久美かおり
10,新人賞,恋の季節,ピンキーとキラーズ
11,大賞,いいじゃないの幸せならば,佐良直美
11,歌唱賞,池袋の夜,青江三奈
11,歌唱賞,人形の家,弘田三枝子
11,歌唱賞,ひとり寝の子守歌,加藤登紀子
11,童謡賞,うまれたきょうだい１１人,スリー・バブルス
11,新人賞,風,はしだのりひことシューベルツ
11,新人賞,長崎は今日も雨だった,内山田洋とクール・ファイブ
11,新人賞,真夜中のギター,千賀かほる
11,新人賞,みんな夢の中,高田恭子
11,最優秀歌唱賞,港町ブルース,森進一
11,最優秀新人賞,夜と朝のあいだに,ピーター
11,大衆賞,365歩のマーチ,水前寺清子
11,大衆賞,禁じられた恋,森山良子
12,大賞,今日でお別れ,菅原洋一
12,歌唱賞,噂の女,内山田洋とクール・ファイブ
12,歌唱賞,希望,岸洋子
12,歌唱賞,波止場おんなのブルース,森進一
12,歌唱賞,手紙,由紀さおり
12,童謡賞,ムーミンのテーマ,玉川さきこ
12,新人賞,経験,辺見マリ
12,新人賞,一度だけなら,野村将希
12,新人賞,愛のきずな,安倍里葎子
12,新人賞,走れコータロー,ソルティー・シュガー
12,最優秀新人賞,もう恋なのか,錦野旦
12,大衆賞,命預けます,藤圭子
12,大衆賞,ドリフのズンドコ節,ザ・ドリフターズ
13,大賞,また逢う日まで,尾崎紀世彦
13,歌唱賞,よこはまたそがれ,五木ひろし
13,歌唱賞,知床旅情,加藤登紀子
13,歌唱賞,さいはて慕情,渚ゆう子
13,童謡賞,じんじん,ひばり児童合唱団
13,新人賞,17才,南沙織
13,新人賞,燃える恋人,本郷直樹
13,新人賞,雨の御堂筋,欧陽菲菲
13,新人賞,恋人もいないのに,シモンズ
13,最優秀歌唱賞,おふくろさん,森進一
13,最優秀新人賞,私の城下町,小柳ルミ子
13,大衆賞,傷だらけの人生,鶴田浩二
13,大衆賞,さらば恋人,堺正章
14,大賞,喝采,ちあきなおみ
14,歌唱賞,瀬戸の花嫁,小柳ルミ子
14,歌唱賞,夜汽車の女,五木ひろし
14,歌唱賞,許されない愛,沢田研二
14,童謡賞,ピンポンパン体操,杉並児童合唱団・お兄さん(金森勢)
14,新人賞,太陽がくれた季節,青い三角定規
14,新人賞,男の子女の子,郷ひろみ
14,新人賞,雨,三善英史
14,新人賞,せんせい,森昌子
14,最優秀歌唱賞,あの鐘を鳴らすのはあなた,和田アキ子
14,最優秀新人賞,芽ばえ,麻丘めぐみ
14,大衆賞,子連れ狼,橋幸夫
14,大衆賞,ひとりじゃないの,天地真理
15,大賞,夜空,五木ひろし
15,歌唱賞,ちぎれた愛,西城秀樹
15,歌唱賞,なみだ恋,八代亜紀
15,歌唱賞,白いギター,チェリッシュ
15,童謡賞,ママと僕の四季,大鹿太
15,新人賞,赤い風船,浅田美代子
15,新人賞,涙の太陽,安西マリア
15,新人賞,コーヒーショップで,あべ静江
15,新人賞,草原の輝き,アグネス・チャン
15,最優秀歌唱賞,恋文,由紀さおり
15,最優秀新人賞,わたしの青い鳥,桜田淳子
15,大衆賞,わたしの彼は左きき,麻丘めぐみ
15,大衆賞,ロマンス,ガロ
15,大衆賞,危険なふたり,沢田研二
16,大賞,襟裳岬,森進一
16,歌唱賞,傷だらけのローラ,西城秀樹
16,歌唱賞,追憶,沢田研二
16,歌唱賞,積木の部屋,布施明
16,歌唱賞,愛の執念,八代亜紀
16,新人賞,恋はダンダン,浅野ゆう子
16,新人賞,太陽の日曜日,荒川務
16,新人賞,イルカにのった少年,城みちる
16,新人賞,空港,テレサ・テン
16,新人賞,あなたにあげる,西川峰子
16,最優秀歌唱賞,みれん,五木ひろし
16,最優秀新人賞,逃避行,麻生よう子
16,大衆賞,二人でお酒を,梓みちよ
16,大衆賞,なみだの操,殿さまキングス
16,大衆賞,うそ,中条きよし
16,大衆賞,ひと夏の経験,山口百恵
16,ヤングアイドル賞,恋のアメリカン・フットボール,フィンガー5
17,大賞,シクラメンのかほり,布施明
17,歌唱賞,私鉄沿線,野口五郎
17,歌唱賞,人恋しくて,南沙織
17,歌唱賞,花車,小柳ルミ子
17,新人賞,ロマンス,岩崎宏美
17,新人賞,夜の訪問者,小川順子
17,新人賞,美しい契り,片平なぎさ
17,新人賞,雨だれ,太田裕美
17,最優秀歌唱賞,千曲川,五木ひろし
17,最優秀新人賞,心のこり,細川たかし
17,大衆賞,十七の夏,桜田淳子
18,大賞,北の宿から,都はるみ
18,歌唱賞,あばよ,研ナオコ
18,歌唱賞,針葉樹,野口五郎
18,歌唱賞,若き獅子たち,西城秀樹
18,新人賞,雪ごもり,芦川よしみ
18,新人賞,嘘でもいいの,角川博
18,新人賞,嫁に来ないか,新沼謙治
18,新人賞,ペッパー警部,ピンク・レディー
18,最優秀歌唱賞,もう一度逢いたい,八代亜紀
18,最優秀新人賞,思い出ぼろぼろ,内藤やす子
18,大衆賞,あなたがいたから僕がいた,郷ひろみ
19,大賞,勝手にしやがれ,沢田研二
19,歌唱賞,秋桜（コスモス）,山口百恵
19,歌唱賞,思秋期,岩崎宏美
19,歌唱賞,津軽海峡冬景色,石川さゆり
19,新人賞,あずさ２号,狩人
19,新人賞,アル・パシーノ＋アラン・ドロン＜あなた,榊原郁恵
19,新人賞,硝子坂,高田みづえ
19,新人賞,Lui-Lui（ルイ・ルイ）,太川陽介
19,最優秀歌唱賞,愛の終着駅,八代亜紀
19,最優秀新人賞,帰らない,清水健太郎
19,大衆賞,ウォンテッド,ピンク・レディー
20,大賞,ＵＦＯ,ピンク・レディー
20,新人賞,失恋記念日,石野真子
20,新人賞,青葉城恋唄,さとう宗幸
20,新人賞,Deep,渋谷哲平
20,新人賞,東京ららばい,中原理恵
20,最優秀歌唱賞,LOVE（抱きしめたい）,沢田研二
20,最優秀新人賞,かもめが翔んだ日,渡辺真知子
20,金賞,かもめはかもめ,研ナオコ
20,金賞,グッド・ラック  Good Luck,野口五郎
20,金賞,しあわせ芝居,桜田淳子
20,金賞,シンデレラ・ハネムーン,岩崎宏美
20,金賞,たそがれマイ・ラブ,大橋純子
20,金賞,故郷へ…,八代亜紀
20,金賞,ブルースカイブルー,西城秀樹
20,金賞,プレイバック Part2,山口百恵
20,金賞,UFO,ピンク・レディー
20,金賞,LOVE（抱きしめたい）,沢田研二
21,大賞,魅せられて,ジュディ・オング
21,新人賞,好きだから,井上望
21,新人賞,HOW!ワンダフル,倉田まり子
21,新人賞,私のハートはストップモーション,桑江知子
21,新人賞,September,竹内まりや
21,新人賞,おんなの出船,松原のぶえ
21,最優秀歌唱賞,おもいで酒,小林幸子
21,最優秀新人賞,私のハートはストップモーション,桑江知子
21,金賞,おまえとふたり,五木ひろし
21,金賞,おもいで酒,小林幸子
21,金賞,カサブランカ・ダンディ,沢田研二
21,金賞,関白宣言,さだまさし
21,金賞,しなやかに歌って,山口百恵
21,金賞,ビューティフル・ネーム,ゴダイゴ
21,金賞,舟唄,八代亜紀
21,金賞,万華鏡,岩崎宏美
21,金賞,魅せられて,ジュディ・オング
21,金賞,勇気があれば,西城秀樹
21,ロング・セラー賞,夢追い酒,渥美二郎
21,ロング・セラー賞,花街の母,金田たつえ
21,ロング・セラー賞,北国の春,千昌夫
21,ロング・セラー賞,みちづれ,牧村三枝子
22,大賞,雨の慕情,八代亜紀
22,新人賞,あなた色のマノン,岩崎良美
22,新人賞,ヤング・ボーイ,河合奈保子
22,新人賞,ハッとして！Good,田原俊彦
22,新人賞,青い珊瑚礁,松田聖子
22,新人賞,帰ってこいよ,松村和子
22,最優秀歌唱賞,大坂しぐれ,都はるみ
22,最優秀新人賞,ハッとして！Good,田原俊彦
22,金賞,雨の慕情,八代亜紀
22,金賞,あれから一年たちました,小林幸子
22,金賞,大阪しぐれ,都はるみ
22,金賞,銀河伝説,岩崎宏美
22,金賞,恋人よ,五輪真弓
22,金賞,酒場でDABADA,沢田研二
22,金賞,サンタマリアの祈り,西城秀樹
22,金賞,ダンシング・オールナイト,もんた＆ブラザーズ
22,金賞,ふたりの夜明け,五木ひろし
22,金賞,私はピアノ,高田みづえ
22,ロング・セラー賞,別れても好きなひと,ロス・インディオス＆シルビア
23,大賞,ルビーの指輪,寺尾聰
23,新人賞,ギンギラギンにさりげなく,近藤真彦
23,新人賞,てれてZinZin,竹本孝之
23,新人賞,父さん,裕子と弥生
23,新人賞,函館本線,山川豊
23,新人賞,はみだしチャンピオン,沖田浩之
23,最優秀歌唱賞,すみれ色の涙,岩崎宏美
23,最優秀新人賞,ギンギラギンにさりげなく,近藤真彦
23,金賞,あなたひとすじ,川中美幸
23,金賞,命あたえて,森進一
23,金賞,哀しみ本線日本海,森昌子
23,金賞,人生かくれんぼ,五木ひろし
23,金賞,ス・ト・リ・ッ・パ・ー,沢田研二
23,金賞,すみれ色の涙,岩崎宏美
23,金賞,センチメンタルガール,西城秀樹
23,金賞,街角トワイライト,シャネルズ
23,金賞,もしもピアノが弾けたなら,西田敏行
23,金賞,ルビーの指輪,寺尾聰
23,ロング・セラー賞,ブランデーグラス,石原裕次郎
23,ロング・セラー賞,みちのくひとり旅,山本譲二
23,ロング・セラー賞,奥飛騨慕情,竜鉄也
24,大賞,北酒場,細川たかし
24,新人賞,ゆ・れ・て湘南,石川秀美
24,新人賞,100%…Soかもね,シブがき隊
24,新人賞,アンサーソングは哀愁,早見優
24,新人賞,待ちぼうけ,堀ちえみ
24,新人賞,センチメンタル・ジャーニー,松本伊代
24,最優秀歌唱賞,シルエット・ロマンス,大橋純子
