回数,賞,ID,song_by
1,大賞,181713,黒い花びら_by_水原弘
1,歌唱賞,42705,夜霧に消えたチャコ_by_フランク永井
1,童謡賞,No ID!,やさしい和尚さん_by_石井亀次郎とキングホウズキ会
2,大賞,13077,誰よりも君を愛す_by_松尾和子＆和田弘とマヒナスターズ
2,歌唱賞,14764,哀愁波止場_by_美空ひばり
2,童謡賞,No ID!,ゆうらんバス_by_水上房子／キング小鳩会
2,新人賞,13868,潮来笠_by_橋幸夫
3,大賞,13078,君恋し_by_フランク永井
3,歌唱賞,42608,硝子のジョニー_by_アイ・ジョージ
3,童謡賞,206438,かかしのねがいごと_by_楠トシエ
3,新人奨励賞,43658,川は流れる_by_仲宗根美樹
3,新人奨励賞,No ID!,団地のお嬢さん_by_山中みゆき
3,新人奨励賞,No ID!,白い花のブルース_by_平野こうじ
3,新人奨励賞,13871,湖愁_by_松島アキラ
3,新人奨励賞,No ID!,むすめ三度笠_by_蔵野たつ美
3,新人奨励賞,59390,さいはての唄_by_柳うた子
4,大賞,13079,いつでも夢を_by_橋幸夫＆吉永小百合
4,歌唱賞,67115,星屑の町_by_三橋美智也
4,童謡賞,5948,ちいさい秋みつけた_by_童謡・唱歌
4,新人賞,43605,なみだ船_by_北島三郎
4,新人賞,43661,下町の太陽_by_倍賞千恵子
5,大賞,187651,こんにちは赤ちゃん_by_梓みちよ
5,歌唱賞,244063,赤ちゃんは王様だ_by_フランク永井
5,童謡賞,8569,おもちゃのチャチャチャ_by_真理ヨシコ
5,新人賞,43573,学園広場_by_舟木一夫
5,新人賞,13873,高校三年生_by_舟木一夫
5,新人賞,42640,島のブルース_by_三沢あけみ・和田弘とマヒナスターズ
5,新人賞,No ID!,私も流れの渡り鳥_by_三沢あけみ
6,大賞,13082,愛と死をみつめて_by_青山和子
6,歌唱賞,4726,夜明けのうた_by_岸洋子
6,童謡賞,No ID!,ワンツースリーゴー_by_音羽ゆりかご会
6,新人賞,42733,君だけを_by_西郷輝彦
6,新人賞,41829,十七才のこの胸に_by_西郷輝彦
6,新人賞,13875,アンコ椿は恋の花_by_都はるみ
7,大賞,13083,柔_by_美空ひばり
7,歌唱賞,21643,ワン・レイニー・ナイト・イン・トーキョー_by_越路吹雪
7,童謡賞,13922,マーチングマーチ_by_童謡・唱歌
7,新人賞,13877,女心の唄_by_バーブ佐竹
7,新人賞,36,愛して愛して愛しちゃったのよ_by_和田弘とマヒナスターズ＆田代美代子
8,大賞,13084,霧氷_by_橋幸夫
8,歌唱賞,43596,絶唱_by_舟木一夫
8,童謡賞,14178,オバケのQ太郎_by_石川進
8,新人賞,2879,空に星があるように_by_荒木一郎
8,新人賞,34981,赤い風船_by_加藤登紀子
9,大賞,4026,ブルー・シャトウ_by_ジャッキー吉川とブルー・コメッツ
9,歌唱賞,1541,君こそわが命_by_水原弘
9,歌唱賞,1976,小指の想い出_by_伊東ゆかり
9,童謡賞,No ID!,うたう足の歌_by_杉並合唱団
9,新人賞,67119,恋人と呼んでみたい_by_永井秀和
9,新人賞,2799,世界は二人のために_by_佐良直美
10,大賞,3154,天使の誘惑_by_黛ジュン
10,歌唱賞,67116,誰もいない_by_菅原洋一
10,歌唱賞,43511,伊勢佐木町ブルース_by_青江三奈
10,歌唱賞,41793,旅路のひとよ_by_鶴岡雅義と東京ロマンチカ
10,童謡賞,No ID!,ペケの歌_by_長谷川よしみ
10,新人賞,311,あなたのブルース_by_矢吹健
10,新人賞,67118,くちづけが怖い_by_久美かおり
10,新人賞,1819,恋の季節_by_ピンキーとキラーズ
11,大賞,442,いいじゃないの幸せならば_by_佐良直美
11,歌唱賞,43510,池袋の夜_by_青江三奈
11,歌唱賞,526,人形の家_by_弘田三枝子
11,歌唱賞,3839,ひとり寝の子守唄_by_加藤登紀子
11,童謡賞,No ID!,うまれたきょうだい１１人_by_スリー・バブルス
11,新人賞,1276,風_by_はしだのりひことシューベルツ
11,新人賞,3352,長崎は今日も雨だった_by_内山田洋とクール・ファイブ
11,新人賞,42694,真夜中のギター_by_千賀かほる
11,新人賞,4400,みんな夢の中_by_高田恭子
11,最優秀歌唱賞,4376,港町ブルース_by_森進一
11,最優秀新人賞,4767,夜と朝のあいだに_by_ピーター
11,大衆賞,42636,三百六十五歩のマーチ_by_水前寺清子
11,大衆賞,1644,禁じられた恋_by_森山良子
12,大賞,1606,今日でお別れ_by_菅原洋一
12,歌唱賞,845,噂の女_by_内山田洋とクール・ファイブ
12,歌唱賞,1524,希望_by_岸洋子
12,歌唱賞,21016,波止場女のブルース_by_森進一
12,歌唱賞,3127,手紙_by_由紀さおり
12,童謡賞,92094,ムーミンのテーマ_by_島本須美
12,新人賞,1734,経験_by_辺見マリ
12,新人賞,661,一度だけなら_by_野村将希
12,新人賞,93,愛のきずな_by_安倍里葎子
12,新人賞,546,走れコウタロー_by_ソルティー・シュガー
12,最優秀新人賞,9169,もう恋なのか_by_錦野旦
12,大衆賞,708,命預けます_by_藤圭子
12,大衆賞,3312,ドリフのズンドコ節_by_ザ・ドリフターズ
13,大賞,4244,また逢う日まで_by_尾崎紀世彦
13,歌唱賞,567,よこはま・たそがれ_by_五木ひろし
13,歌唱賞,2600,知床旅情_by_加藤登紀子
13,歌唱賞,2020,さいはて慕情_by_渚ゆう子
13,童謡賞,No ID!,じんじん_by_ひばり児童合唱団
13,新人賞,2504,17才_by_南沙織
13,新人賞,213131,燃える恋人_by_本郷直樹
13,新人賞,21204,雨の御堂筋_by_欧陽菲菲
13,新人賞,6358,恋人もいないのに_by_シモンズ
13,最優秀歌唱賞,1051,おふくろさん_by_森進一
13,最優秀新人賞,5004,わたしの城下町_by_小柳ルミ子
13,大衆賞,21013,傷だらけの人生_by_鶴田浩二
13,大衆賞,2154,さらば恋人_by_堺正章
14,大賞,1310,喝采_by_ちあきなおみ
14,歌唱賞,2819,瀬戸の花嫁_by_小柳ルミ子
14,歌唱賞,38724,夜汽車の女_by_五木ひろし
14,歌唱賞,4717,許されない愛_by_沢田研二
14,童謡賞,69505,ピンポンパン体操_by_杉並児童合唱団・お兄さん(金森勢)
14,新人賞,2928,太陽がくれた季節_by_青い三角定規
14,新人賞,1015,男の子女の子_by_郷ひろみ
14,新人賞,360,雨_by_三善英史
14,新人賞,6050,せんせい_by_森昌子
14,最優秀歌唱賞,323,あの鐘を鳴らすのはあなた_by_和田アキ子
14,最優秀新人賞,4487,芽ばえ_by_麻丘めぐみ
14,大衆賞,8477,子連れ狼_by_橋幸夫・若草児童合唱団
14,大衆賞,3833,ひとりじゃないの_by_天地真理
15,大賞,4754,夜空_by_五木ひろし
15,歌唱賞,3047,ちぎれた愛_by_西城秀樹
15,歌唱賞,3446,なみだ恋_by_八代亜紀
15,歌唱賞,2605,白いギター_by_チェリッシュ
15,童謡賞,No ID!,ママと僕の四季_by_大鹿太
15,新人賞,192,赤い風船_by_浅田美代子
15,新人賞,114414,涙の太陽_by_安西マリア
15,新人賞,1775,コーヒーショップで_by_あべ静江
15,新人賞,2852,草原の輝き_by_アグネス・チャン
15,最優秀歌唱賞,19778,恋文_by_由紀さおり
15,最優秀新人賞,4999,わたしの青い鳥_by_桜田淳子
15,大衆賞,5001,わたしの彼は左きき_by_麻丘めぐみ
15,大衆賞,38413,ロマンス_by_ガロ
15,大衆賞,1439,危険なふたり_by_沢田研二
16,大賞,884,襟裳岬_by_森進一
16,歌唱賞,1450,傷だらけのローラ_by_西城秀樹
16,歌唱賞,3080,追憶_by_沢田研二
16,歌唱賞,490,積木の部屋_by_布施明
16,歌唱賞,102,愛の執念_by_八代亜紀
16,新人賞,No ID!,恋はダンダン_by_浅野ゆう子
16,新人賞,105118,太陽の日曜日_by_荒川務
16,新人賞,742,イルカにのった少年_by_城みちる
16,新人賞,1651,空港_by_テレサ・テン
16,新人賞,290,あなたにあげる_by_西川峰子
16,最優秀歌唱賞,38434,みれん_by_五木ひろし
16,最優秀新人賞,3218,逃避行_by_麻生よう子
16,大衆賞,3944,二人でお酒を_by_梓みちよ
16,大衆賞,3470,なみだの操_by_殿さまキングス
16,大衆賞,799,うそ_by_中条きよし
16,大衆賞,3809,ひと夏の経験_by_山口百恵
16,ヤングアイドル賞,1815,恋のアメリカン・フットボール_by_フィンガー5
17,大賞,2408,シクラメンのかほり_by_布施明
17,歌唱賞,2429,私鉄沿線_by_野口五郎
17,歌唱賞,6825,人恋しくて_by_南沙織
17,歌唱賞,38744,花車_by_小柳ルミ子
17,新人賞,4910,ロマンス_by_岩崎宏美
17,新人賞,38438,夜の訪問者_by_小川順子
17,新人賞,198910,美しい契り_by_片平なぎさ
17,新人賞,354,雨だれ_by_太田裕美
17,最優秀歌唱賞,3048,千曲川_by_五木ひろし
17,最優秀新人賞,1918,心のこり_by_細川たかし
17,大衆賞,2507,十七の夏_by_桜田淳子
18,大賞,1499,北の宿から_by_都はるみ
18,歌唱賞,337,あばよ_by_研ナオコ
18,歌唱賞,2669,針葉樹_by_野口五郎
18,歌唱賞,4933,若き獅子たち_by_西城秀樹
18,新人賞,No ID!,雪ごもり_by_芦川よしみ
18,新人賞,96055,嘘でもいいの_by_角川博
18,新人賞,4764,嫁に来ないか_by_新沼謙治
